SubjectID,fmri_feature_1,fmri_feature_2,fmri_feature_3,fmri_feature_4,fmri_feature_5,fmri_feature_6,fmri_feature_7,fmri_feature_8,fmri_feature_9,fmri_feature_10,fmri_feature_11,fmri_feature_12,fmri_feature_13,fmri_feature_14,fmri_feature_15,fmri_feature_16,fmri_feature_17,fmri_feature_18,fmri_feature_19,fmri_feature_20,fmri_feature_21,fmri_feature_22,fmri_feature_23,fmri_feature_24,fmri_feature_25,fmri_feature_26,fmri_feature_27,fmri_feature_28,fmri_feature_29,fmri_feature_30,fmri_feature_31,fmri_feature_32,fmri_feature_33,fmri_feature_34,fmri_feature_35,fmri_feature_36,fmri_feature_37,fmri_feature_38,fmri_feature_39,fmri_feature_40,fmri_feature_41,fmri_feature_42,fmri_feature_43,fmri_feature_44,fmri_feature_45,fmri_feature_46,fmri_feature_47,fmri_feature_48,fmri_feature_49,fmri_feature_50,fmri_feature_51,fmri_feature_52,fmri_feature_53,fmri_feature_54,fmri_feature_55,fmri_feature_56,fmri_feature_57,fmri_feature_58,fmri_feature_59,fmri_feature_60,fmri_feature_61,fmri_feature_62,fmri_feature_63,fmri_feature_64,fmri_feature_65,fmri_feature_66,fmri_feature_67,fmri_feature_68,fmri_feature_69,fmri_feature_70,fmri_feature_71,fmri_feature_72,fmri_feature_73,fmri_feature_74,fmri_feature_75,fmri_feature_76,fmri_feature_77,fmri_feature_78,fmri_feature_79,fmri_feature_80,fmri_feature_81,fmri_feature_82,fmri_feature_83,fmri_feature_84,fmri_feature_85,fmri_feature_86,fmri_feature_87,fmri_feature_88,fmri_feature_89,fmri_feature_90,fmri_feature_91,fmri_feature_92,fmri_feature_93,fmri_feature_94,fmri_feature_95,fmri_feature_96,fmri_feature_97,fmri_feature_98,fmri_feature_99,fmri_feature_100,fmri_feature_101,fmri_feature_102,fmri_feature_103,fmri_feature_104,fmri_feature_105,fmri_feature_106,fmri_feature_107,fmri_feature_108,fmri_feature_109,fmri_feature_110,fmri_feature_111,fmri_feature_112,fmri_feature_113,fmri_feature_114,fmri_feature_115,fmri_feature_116,fmri_feature_117,fmri_feature_118,fmri_feature_119,fmri_feature_120,fmri_feature_121,fmri_feature_122,fmri_feature_123,fmri_feature_124,fmri_feature_125,fmri_feature_126,fmri_feature_127,fmri_feature_128,label
100206,0.031506527,0.0,0.0,0.18171978,0.011148621,0.0,0.04490083,0.0,0.0,0.48215535,0.0,0.0,0.0,0.21310468,0.13749215,0.0,0.3588354,0.19896248,0.1906581,0.32155797,0.29102594,0.0,0.01587367,0.41926172,0.4684241,0.37671536,0.17653087,0.0,0.0,0.0,0.34792915,0.0,0.0,0.014992642,0.0,0.0,0.0,0.23733233,0.0,0.17580742,0.0,0.0,0.17926702,0.0,0.0,0.21894015,0.21906678,0.0,0.0,0.0,0.30048302,0.0,0.0,0.33052704,0.0,0.2078152,0.0,0.08272041,0.21925007,0.0,0.0,0.0,0.17705427,0.0,0.0,0.0,0.0,0.32297474,0.0,0.73059046,0.11419838,0.0,0.24756446,0.0,0.0,0.0,0.19711393,0.0,0.0,0.0,0.1605748,0.035757095,0.12434249,0.27941638,0.0,0.0,0.090002246,0.0,0.22497572,0.0,0.3485131,0.0,0.0,0.18864049,0.0,0.13052018,0.0,0.31095374,0.0,0.017813489,0.04704532,0.0,0.27227145,0.32020608,0.13479352,0.41231963,0.0,0.09969812,0.0,0.24890818,0.0,0.0,0.051924538,0.046755526,0.0,0.0,0.18157235,0.33138576,0.08660989,0.19432068,0.1971701,0.0,0.0,0.0,0.0,0.42231023,0.0,0.0,1
100408,0.0,0.16989958,0.0,0.19881997,0.0,0.0,0.10180287,0.0,0.0,0.7777944,0.0,0.0,0.0,0.27703533,0.31252727,0.16000494,0.345121,0.2958634,0.22777341,0.24279225,0.40013918,0.04920756,0.02583222,0.37444434,0.4975358,0.5804441,0.23727112,0.0,0.0,0.0,0.39055747,0.06889143,0.0,0.13085267,0.0,0.0,0.083017945,0.35993984,0.0,0.1649423,0.0,0.0,0.28596342,0.0,0.0009992032,0.2788412,0.27253008,0.0,0.0,0.0,0.20597294,0.0,0.0,0.5692565,0.0,0.26316532,0.0,0.0,0.45433396,0.0,0.0,0.0,0.11869365,0.0,0.0,0.0,0.0,0.10344315,0.0,0.7984008,0.10551222,0.0,0.22211574,0.0,0.0,0.0,0.10962222,0.04474879,0.0,0.0,0.19449192,0.0,0.12604769,0.3230707,0.0,0.0,0.32334998,0.0,0.30595598,0.0,0.35142308,0.0,0.0,0.13782343,0.0,0.29617283,0.0,0.22931796,0.0,0.0,0.0,0.0,0.23310795,0.05261843,0.19897136,0.28986183,0.00886875,0.0,0.036035288,0.37923235,0.0,0.0,0.09411089,0.06590639,0.0,0.0,0.104222775,0.39703754,0.038351227,0.2422352,0.187424,0.0,0.0,0.13609242,0.0,0.41916457,0.0,0.0,1
100610,0.0,0.0,0.0,0.2824093,0.0,0.0,0.024616107,0.0,0.0,0.5621218,0.0,0.0,0.0,0.22536944,0.17420267,0.100993454,0.30166623,0.17420639,0.1673615,0.13193768,0.40495318,0.0,0.0548317,0.41203868,0.55365884,0.43136966,0.16833934,0.0,0.0,0.0,0.27337477,0.0,0.0,0.072881125,0.0,0.0,0.0,0.30778477,0.0,0.23764959,0.0,0.0,0.1457847,0.0,0.0,0.17043097,0.27869037,0.0,0.0,0.0,0.25519443,0.0,0.0,0.35540226,0.0,0.22842418,0.0,0.035377234,0.3653551,0.0,0.0,0.0,0.024639338,0.0,0.0,0.0,0.0,0.26751617,0.0,0.8128177,0.1277742,0.0,0.19488552,0.0,0.0,0.0,0.07715014,0.0,0.0,0.0,0.12953939,0.0,0.24363406,0.17806041,0.0,0.0,0.21499519,0.0,0.2813857,0.0,0.30301422,0.0,0.0,0.25812262,0.0,0.08659828,0.0,0.2973632,0.0,0.0,0.0,0.0,0.3490682,0.21864304,0.21260893,0.36874136,0.0,0.20297125,0.0,0.35656595,0.0,0.0,0.18238208,0.0,0.0,0.0,0.14306656,0.25993964,0.034302864,0.34140745,0.17615916,0.0,0.0,0.10380931,0.0,0.59053457,0.0,0.0,1
101107,0.0,1.1675725,0.0,0.14511645,0.0,0.0,0.17914739,0.0,0.0,1.8724531,0.0,0.0,0.09981558,0.19697775,0.71171236,0.86264336,0.22645423,0.7493197,0.0,0.54480815,0.41633108,0.32658604,0.022285476,0.0,0.54587734,1.0222336,0.46637133,0.0,0.0,0.0,0.9312196,0.4901121,0.1651018,0.6245768,0.0,0.0,0.6710015,0.35471597,0.0,0.15463859,0.0,0.0,0.864629,0.22313078,0.7781441,0.49649534,0.5604506,0.0,0.0,0.0,0.02207024,0.0,0.0,1.458303,0.0,0.3264397,0.05417205,0.0,1.1633563,0.0,0.34748515,0.0,0.0,0.0,0.0,0.0,0.15289019,0.0,0.87078136,0.8807097,0.28507388,0.0,0.14716113,0.0,0.059027165,0.0,0.0,0.16866684,0.15872754,0.0,0.43092102,0.0,0.634191,0.79879117,0.0,0.0,1.0299102,0.0,0.6359537,0.0,0.2665986,0.0,0.0,0.0,0.0,0.8793305,0.0,0.009479871,0.0,0.12776518,0.0,0.0,0.0,0.0,0.0,0.38594946,0.0,0.0,0.14445965,0.37407005,0.0,0.0,0.0,0.3315702,0.0,0.0,0.0058852746,0.7374519,0.0,0.66978365,0.0,0.036746237,0.0,0.6480062,0.4164073,0.1865119,0.0,0.0,1
101309,0.0046345964,0.0,0.0,0.3001908,0.0,0.0,0.009900413,0.0,0.0,0.46107867,0.0,0.0,0.0,0.21325456,0.19121791,0.06193176,0.2874219,0.13145167,0.24812734,0.18433876,0.5123015,0.0,0.023958027,0.478289,0.58264285,0.37676364,0.14623538,0.0,0.0,0.0,0.24192385,0.0,0.0,0.0,0.0,0.0,0.0,0.2583674,0.0,0.09253794,0.0,0.0,0.17663324,0.0,0.0,0.214512,0.2201684,0.0,0.0,0.0,0.20575811,0.0,0.009149014,0.3563123,0.0,0.25532517,0.0,0.022912197,0.19771968,0.0,0.0,0.0,0.14018983,0.0,0.0,0.0,0.0,0.23573798,0.0,0.7990561,0.05719341,0.0,0.2734535,0.0,0.0,0.0,0.24145038,0.0021093187,0.0,0.0026299884,0.15985613,0.0,0.16298047,0.2061758,0.0,0.0,0.06206551,0.0,0.3297064,0.0,0.36266515,0.0,0.0,0.31167734,0.0,0.0,0.0,0.4043205,0.012349536,0.0,0.013080865,0.0,0.30204356,0.2815724,0.17414144,0.40041843,0.01476438,0.22740608,0.0,0.24098647,0.0,0.0,0.188182,0.037427884,0.0,0.0,0.18677309,0.4099925,0.0,0.1882047,0.19648954,0.0,0.0,0.0,0.0,0.53082806,0.0,0.0,1
101410,0.0,0.0,0.0,0.26238215,0.0,0.0,0.108438015,0.0,0.0,0.7060011,0.0,0.0,0.0,0.26292846,0.17282298,0.16587305,0.27150592,0.16815346,0.16337581,0.1812778,0.3977034,0.0,0.13804679,0.31041524,0.52241546,0.5012052,0.17115036,0.0,0.0,0.0,0.35893157,0.0,0.0,0.07926773,0.0,0.0,0.0,0.26715776,0.0,0.17868753,0.0,0.0,0.2535864,0.0,0.0,0.22912733,0.3456422,0.0,0.0,0.0,0.14896232,0.0,0.0,0.4637627,0.0,0.24960451,0.0,0.008482599,0.42314708,0.0,0.0,0.021893488,0.04900217,0.0,0.0,0.0,0.0,0.10887457,0.0,0.71230745,0.11087736,0.0,0.24540104,0.0,0.0,0.0,0.1598402,0.0,0.0,0.0,0.18168655,0.0,0.26799196,0.22621775,0.0,0.0,0.15065332,0.0,0.38467973,0.0,0.32128713,0.0,0.0,0.24530149,0.0,0.19011249,0.0,0.29937437,0.0,0.02808857,0.0,0.0,0.27025983,0.2230676,0.24008474,0.33467057,0.014996257,0.2060732,0.047820594,0.24946561,0.0,0.0,0.19297296,0.13817336,0.0,0.0,0.22969005,0.2550942,0.02971747,0.25819814,0.1202259,0.0,0.0,0.08510673,0.0,0.50736713,0.0,0.0,1
102008,0.0033972114,0.19049409,0.0,0.20424482,0.0,0.0,0.1064344,0.0,0.0,0.8101745,0.0,0.0,0.0,0.28130397,0.32089502,0.27245185,0.29984188,0.20265068,0.19948463,0.29736784,0.3802298,0.011505982,0.17215209,0.31425038,0.4627495,0.6018653,0.17259029,0.0,0.0,0.0,0.366345,0.0022505005,0.0,0.17900349,0.0,0.0,0.01986739,0.34726915,0.0,0.1062824,0.0,0.0,0.23319438,0.0,0.0,0.21462812,0.3080871,0.0,0.0,0.0,0.2114111,0.0,0.0,0.53556436,0.0,0.31613898,0.0,0.0,0.47669905,0.0,0.0,0.0,0.040282547,0.0,0.0,0.0,0.0,0.09746457,0.0,0.86988986,0.15489362,0.0,0.22125822,0.0,0.0,0.0,0.019021444,0.0,0.0,0.0,0.110723905,0.0,0.18575047,0.345481,0.0,0.0,0.29247832,0.0,0.30501503,0.0,0.29393318,0.0,0.0,0.16036175,0.0,0.27807564,0.0,0.21406339,0.0,0.03739071,0.0,0.0,0.19799414,0.15594076,0.19857326,0.33775058,0.0,0.0,0.043375913,0.3265054,0.0,0.0,0.02906091,0.13067818,0.0,0.0,0.08758479,0.37804666,0.0,0.27282917,0.1020528,0.0,0.0,0.10479035,0.0,0.508614,0.0,0.0,1
102513,0.0,0.0,0.0,0.26085186,0.02117474,0.0,0.033970676,0.0,0.0,0.51389384,0.0,0.0,0.0,0.26240146,0.35043076,0.13954517,0.46419543,0.1937115,0.26441282,0.17266904,0.44161975,0.0,0.09791537,0.5044245,0.64164144,0.3900125,0.20974827,0.0,0.0,0.0,0.2622229,0.0,0.016850319,0.0,0.0,0.0,0.0,0.28991404,0.0,0.1519517,0.0,0.0,0.15393102,0.0,0.0,0.27847716,0.14807959,0.0,0.0,0.0,0.31090367,0.0,0.09077665,0.2986568,0.0,0.27027023,0.0,0.06816203,0.27846056,0.0,0.0,0.012943552,0.058266282,0.0,0.0,0.0,0.0,0.25774094,0.0,0.87130666,0.17151833,0.0,0.15838605,0.0,0.0,0.0,0.1590811,0.0,0.0,0.0,0.19308057,0.008733287,0.1812468,0.3458326,0.0,0.0,0.19881925,0.0,0.30477107,0.0,0.48644882,0.0,0.0,0.23595753,0.0,0.103378,0.0,0.34076634,0.028009987,0.016786441,0.03132622,0.0,0.35479635,0.2230653,0.12919535,0.3499721,0.0,0.30596456,0.03327919,0.3444575,0.0,0.0,0.17151265,0.048836455,0.0,0.0,0.2728036,0.341959,0.0,0.2009428,0.27507606,0.0,0.0,0.0,0.0,0.56749594,0.0,0.0,1
103111,0.0,0.0,0.0,0.20796841,0.0,0.0,0.06578645,0.0,0.0,0.535984,0.0,0.0,0.0,0.26458964,0.19061454,0.151138,0.2635773,0.037145283,0.14854851,0.13946499,0.44128436,0.0,0.15865569,0.3634643,0.5674177,0.4295721,0.10485292,0.0,0.0,0.0,0.2538742,0.0,0.0,0.0,0.0,0.0,0.0,0.3118032,0.0,0.028391065,0.0,0.0,0.2621229,0.0,0.0,0.13770609,0.29462698,0.0,0.0,0.0,0.098887004,0.0,0.0,0.41223866,0.0,0.29731354,0.0,0.0,0.2940482,0.0,0.0,0.014575892,0.13419774,0.0,0.0,0.0,0.0,0.18451214,0.0,0.7348863,0.17885712,0.0,0.22240295,0.0,0.0,0.0,0.17165977,0.0,0.0,0.0,0.15791577,0.0,0.24630867,0.21612957,0.0,0.0,0.09826642,0.0,0.29721156,0.0,0.32944342,0.0,0.0,0.24291818,0.0,0.08565888,0.0,0.2971337,0.0,0.018552877,0.0,0.0,0.24567057,0.24358788,0.19166772,0.33222395,0.08170636,0.21494244,0.054662157,0.2536956,0.0,0.0,0.120416984,0.08491332,0.0,0.0,0.1827071,0.21912192,0.046480943,0.15100433,0.09009837,0.0,0.0,0.08460554,0.0,0.50655115,0.0,0.041257422,1
105115,0.069138065,0.0,0.0,0.2918948,0.0,0.0,0.019620813,0.0,0.0,0.3553866,0.0,0.0,0.0,0.26712206,0.16261347,0.0,0.33869892,0.123223856,0.40300137,0.14315248,0.47297895,0.0,0.1276734,0.46530908,0.54917973,0.4245612,0.2348487,0.0,0.0,0.0,0.32629436,0.0,0.0,0.0,0.0,0.0,0.0,0.25324953,0.0,0.14727,0.0,0.0,0.13330199,0.0,0.0,0.2700775,0.20390208,0.0,0.0,0.0,0.29948834,0.0,0.15006813,0.182101,0.0,0.2692225,0.0,0.07584299,0.18366136,0.0,0.0,0.044664532,0.2168244,0.004114285,0.0,0.0,0.0,0.2082664,0.0,0.7959548,0.07298718,0.0,0.24609776,0.0,0.0,0.0,0.21349475,0.0,0.0,0.086982064,0.117839225,0.012891084,0.07611372,0.1879719,0.0,0.0,0.03263698,0.0,0.16228536,0.0,0.3855352,0.0,0.0,0.31648237,0.0,0.03731429,0.0,0.2692054,0.0,0.0,0.005510092,0.0,0.3732194,0.25220934,0.2372128,0.3872912,0.0,0.25171667,0.031941596,0.29873285,0.0,0.0,0.23630632,0.0,0.0,0.0,0.25692075,0.35080364,0.052336525,0.11768206,0.29958394,0.0,0.0,0.0,0.0,0.4227336,0.0,0.0,1
